awardEditionLabel,year,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,tmdbid,bechdeltest_rating,human,genderLabel,humanLabel
94th Academy Awards,2022,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q85323337,The Power of the Dog,http://www.wikidata.org/entity/Q230448,Jane Campion,2022-03-27T00:00:00Z,tt10293406,600583,0,http://www.wikidata.org/entity/Q76478,female,Kirsten Dunst
94th Academy Awards,2022,Academy Award for Best Actor,http://www.wikidata.org/entity/Q85323337,The Power of the Dog,http://www.wikidata.org/entity/Q230448,Jane Campion,2022-03-27T00:00:00Z,tt10293406,600583,0,http://www.wikidata.org/entity/Q244674,male,Benedict Cumberbatch
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q85323337,The Power of the Dog,http://www.wikidata.org/entity/Q230448,Jane Campion,2022-03-27T00:00:00Z,tt10293406,600583,0,http://www.wikidata.org/entity/Q15808023,,Emile Sherman
94th Academy Awards,2022,Academy Award for Best Director,http://www.wikidata.org/entity/Q85323337,The Power of the Dog,http://www.wikidata.org/entity/Q230448,Jane Campion,2022-03-27T00:00:00Z,tt10293406,600583,0,http://www.wikidata.org/entity/Q230448,female,Jane Campion
94th Academy Awards,2022,Academy Award for Best Actor,http://www.wikidata.org/entity/Q85323361,"Tick, Tick... Boom!",http://www.wikidata.org/entity/Q1646482,Lin-Manuel Miranda,2022-03-27T00:00:00Z,tt8721424,537116,3,http://www.wikidata.org/entity/Q23891,male,Andrew Garfield
94th Academy Awards,2022,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q99926331,The Lost Daughter,http://www.wikidata.org/entity/Q202381,Maggie Gyllenhaal,2022-03-27T00:00:00Z,tt9100054,554230,3,http://www.wikidata.org/entity/Q6187642,female,Jessie Buckley
94th Academy Awards,2022,Academy Award for Best Actress,http://www.wikidata.org/entity/Q99926331,The Lost Daughter,http://www.wikidata.org/entity/Q202381,Maggie Gyllenhaal,2022-03-27T00:00:00Z,tt9100054,554230,3,http://www.wikidata.org/entity/Q7088045,female,Olivia Colman
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q100361490,Don't Look Up,http://www.wikidata.org/entity/Q350405,Adam McKay,2022-03-27T00:00:00Z,tt11286314,646380,3,http://www.wikidata.org/entity/Q350405,male,Adam McKay
94th Academy Awards,2022,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q100736066,Belfast,http://www.wikidata.org/entity/Q55294,Kenneth Branagh,2022-03-27T00:00:00Z,tt12789558,777270,1,http://www.wikidata.org/entity/Q314892,male,Ciarán Hinds
94th Academy Awards,2022,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q100736066,Belfast,http://www.wikidata.org/entity/Q55294,Kenneth Branagh,2022-03-27T00:00:00Z,tt12789558,777270,1,http://www.wikidata.org/entity/Q28054,female,Judi Dench
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q100736066,Belfast,http://www.wikidata.org/entity/Q55294,Kenneth Branagh,2022-03-27T00:00:00Z,tt12789558,777270,1,http://www.wikidata.org/entity/Q55294,male,Kenneth Branagh
94th Academy Awards,2022,Academy Award for Best Director,http://www.wikidata.org/entity/Q100736066,Belfast,http://www.wikidata.org/entity/Q55294,Kenneth Branagh,2022-03-27T00:00:00Z,tt12789558,777270,1,http://www.wikidata.org/entity/Q55294,male,Kenneth Branagh
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q102036245,Licorice Pizza,http://www.wikidata.org/entity/Q25132,Paul Thomas Anderson,2022-03-27T00:00:00Z,tt11271038,718032,3,http://www.wikidata.org/entity/Q25132,male,Paul Thomas Anderson
94th Academy Awards,2022,Academy Award for Best Director,http://www.wikidata.org/entity/Q102036245,Licorice Pizza,http://www.wikidata.org/entity/Q25132,Paul Thomas Anderson,2022-03-27T00:00:00Z,tt11271038,718032,3,http://www.wikidata.org/entity/Q25132,male,Paul Thomas Anderson
94th Academy Awards,2022,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q104686893,CODA,http://www.wikidata.org/entity/Q7506788,Siân Héder,2022-03-27T00:00:00Z,tt10366460,776503,3,http://www.wikidata.org/entity/Q3508016,male,Troy Kotsur
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q104686893,CODA,http://www.wikidata.org/entity/Q7506788,Siân Héder,2022-03-27T00:00:00Z,tt10366460,776503,3,http://www.wikidata.org/entity/Q3380669,male,Philippe Rousselet
94th Academy Awards,2022,Academy Award for Best Actress,http://www.wikidata.org/entity/Q105100020,Spencer,http://www.wikidata.org/entity/Q1985090,Pablo Larraín,2022-03-27T00:00:00Z,tt12536294,716612,3,http://www.wikidata.org/entity/Q126599,female,Kristen Stewart
94th Academy Awards,2022,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q105907125,Being the Ricardos,http://www.wikidata.org/entity/Q299194,Aaron Sorkin,2022-03-27T00:00:00Z,tt4995540,517088,3,http://www.wikidata.org/entity/Q150482,male,J. K. Simmons
94th Academy Awards,2022,Academy Award for Best Actress,http://www.wikidata.org/entity/Q105907125,Being the Ricardos,http://www.wikidata.org/entity/Q299194,Aaron Sorkin,2022-03-27T00:00:00Z,tt4995540,517088,3,http://www.wikidata.org/entity/Q37459,female,Nicole Kidman
94th Academy Awards,2022,Academy Award for Best Actor,http://www.wikidata.org/entity/Q105907125,Being the Ricardos,http://www.wikidata.org/entity/Q299194,Aaron Sorkin,2022-03-27T00:00:00Z,tt4995540,517088,3,http://www.wikidata.org/entity/Q134895,male,Javier Bardem
