awardEditionLabel,year,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,tmdbid,bechdeltest_rating,human,genderLabel,humanLabel
90th Academy Awards,2018,Academy Award for Best Picture,http://www.wikidata.org/entity/Q26698156,The Shape of Water,http://www.wikidata.org/entity/Q219124,Guillermo del Toro,2018-03-04T00:00:00Z,tt5580390,399055,3,,,
90th Academy Awards,2018,Academy Award for Best Actor,http://www.wikidata.org/entity/Q27958298,Darkest Hour,http://www.wikidata.org/entity/Q118817,Joe Wright,2018-03-04T00:00:00Z,tt4555426,399404,2,http://www.wikidata.org/entity/Q83492,male,Gary Oldman
90th Academy Awards,2018,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q28369564,"I, Tonya",http://www.wikidata.org/entity/Q3696452,Craig Gillespie,2018-03-04T00:00:00Z,tt5580036,389015,3,http://www.wikidata.org/entity/Q229487,female,Allison Janney
89th Academy Awards,2017,Academy Award for Best Actor,http://www.wikidata.org/entity/Q19864603,Manchester by the Sea,http://www.wikidata.org/entity/Q968840,Kenneth Lonergan,2017-02-26T00:00:00Z,tt4034228,334541,3,http://www.wikidata.org/entity/Q270730,male,Casey Affleck
89th Academy Awards,2017,Academy Award for Best Actress,http://www.wikidata.org/entity/Q20856802,La La Land,http://www.wikidata.org/entity/Q18350026,Damien Chazelle,2017-02-26T00:00:00Z,tt3783958,313369,3,http://www.wikidata.org/entity/Q147077,female,Emma Stone
89th Academy Awards,2017,Academy Award for Best Director,http://www.wikidata.org/entity/Q20856802,La La Land,http://www.wikidata.org/entity/Q18350026,Damien Chazelle,2017-02-26T00:00:00Z,tt3783958,313369,3,http://www.wikidata.org/entity/Q18350026,male,Damien Chazelle
89th Academy Awards,2017,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q21527875,Moonlight,http://www.wikidata.org/entity/Q26821227,Barry Jenkins,2017-02-26T00:00:00Z,tt4975722,376867,1,http://www.wikidata.org/entity/Q360531,male,Mahershala Ali
89th Academy Awards,2017,Academy Award for Best Picture,http://www.wikidata.org/entity/Q21527875,Moonlight,http://www.wikidata.org/entity/Q26821227,Barry Jenkins,2017-02-26T00:00:00Z,tt4975722,376867,1,http://www.wikidata.org/entity/Q28534248,female,Adele Romanski
89th Academy Awards,2017,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q25136220,Fences,http://www.wikidata.org/entity/Q42101,Denzel Washington,2017-02-26T00:00:00Z,tt2671706,393457,3,http://www.wikidata.org/entity/Q229181,female,Viola Davis
88th Academy Awards,2016,Academy Award for Best Actress,http://www.wikidata.org/entity/Q18703032,Room,http://www.wikidata.org/entity/Q6522913,Lenny Abrahamson,2016-02-28T00:00:00Z,tt3170832,264644,3,http://www.wikidata.org/entity/Q29328,female,Brie Larson
88th Academy Awards,2016,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q19347583,The Danish Girl,http://www.wikidata.org/entity/Q295912,Tom Hooper,2016-02-28T00:00:00Z,tt0810819,306819,3,http://www.wikidata.org/entity/Q439314,female,Alicia Vikander
88th Academy Awards,2016,Academy Award for Best Actor,http://www.wikidata.org/entity/Q18002795,The Revenant,http://www.wikidata.org/entity/Q55215,Alejandro González Iñárritu,2016-02-28T00:00:00Z,tt1663202,281957,0,http://www.wikidata.org/entity/Q38111,male,Leonardo DiCaprio
88th Academy Awards,2016,Academy Award for Best Director,http://www.wikidata.org/entity/Q18002795,The Revenant,http://www.wikidata.org/entity/Q55215,Alejandro González Iñárritu,2016-02-28T00:00:00Z,tt1663202,281957,0,http://www.wikidata.org/entity/Q55215,male,Alejandro González Iñárritu
88th Academy Awards,2016,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q18067135,Bridge of Spies,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2016-02-28T00:00:00Z,tt3682448,296098,1,http://www.wikidata.org/entity/Q324572,male,Mark Rylance
88th Academy Awards,2016,Academy Award for Best Picture,http://www.wikidata.org/entity/Q18154496,Spotlight,http://www.wikidata.org/entity/Q514527,Tom McCarthy,2016-02-28T00:00:00Z,tt1895587,314365,1,http://www.wikidata.org/entity/Q22075550,,Nicole Rocklin
87th Academy Awards,2015,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q4103201,Boyhood,http://www.wikidata.org/entity/Q40035,Richard Linklater,2015-02-22T00:00:00Z,tt1065073,85350,3,http://www.wikidata.org/entity/Q215976,female,Patricia Arquette
87th Academy Awards,2015,Academy Award for Best Director,http://www.wikidata.org/entity/Q13255497,Birdman,http://www.wikidata.org/entity/Q55215,Alejandro González Iñárritu,2015-02-22T00:00:00Z,tt2562232,194662,3,http://www.wikidata.org/entity/Q55215,male,Alejandro González Iñárritu
87th Academy Awards,2015,Academy Award for Best Picture,http://www.wikidata.org/entity/Q13255497,Birdman,http://www.wikidata.org/entity/Q55215,Alejandro González Iñárritu,2015-02-22T00:00:00Z,tt2562232,194662,3,http://www.wikidata.org/entity/Q19359565,,James W. Skotchdopole
87th Academy Awards,2015,Academy Award for Best Actor,http://www.wikidata.org/entity/Q15079318,The Theory of Everything,http://www.wikidata.org/entity/Q2720543,James Marsh,2015-02-22T00:00:00Z,tt2980516,266856,3,http://www.wikidata.org/entity/Q28288,male,Eddie Redmayne
87th Academy Awards,2015,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q15648198,Whiplash,http://www.wikidata.org/entity/Q18350026,Damien Chazelle,2015-02-22T00:00:00Z,tt2582802,244786,1,http://www.wikidata.org/entity/Q150482,male,J. K. Simmons
87th Academy Awards,2015,Academy Award for Best Actress,http://www.wikidata.org/entity/Q16354843,Still Alice,http://www.wikidata.org/entity/Q455482,Wash Westmoreland,2015-02-22T00:00:00Z,tt3316960,284293,3,http://www.wikidata.org/entity/Q80405,female,Julianne Moore
86th Academy Awards,2014,Academy Award for Best Director,http://www.wikidata.org/entity/Q2579784,Gravity,http://www.wikidata.org/entity/Q28028,Alfonso Cuarón,2014-03-02T00:00:00Z,tt1454468,49047,0,http://www.wikidata.org/entity/Q28028,male,Alfonso Cuarón
86th Academy Awards,2014,Academy Award for Best Actress,http://www.wikidata.org/entity/Q2907178,Blue Jasmine,http://www.wikidata.org/entity/Q25089,Woody Allen,2014-03-02T00:00:00Z,tt2334873,160588,3,http://www.wikidata.org/entity/Q80966,female,Cate Blanchett
86th Academy Awards,2014,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q3023357,12 Years a Slave,http://www.wikidata.org/entity/Q706475,Steve McQueen,2014-03-02T00:00:00Z,tt2024544,76203,3,http://www.wikidata.org/entity/Q3840847,female,Lupita Nyong'o
86th Academy Awards,2014,Academy Award for Best Picture,http://www.wikidata.org/entity/Q3023357,12 Years a Slave,http://www.wikidata.org/entity/Q706475,Steve McQueen,2014-03-02T00:00:00Z,tt2024544,76203,3,http://www.wikidata.org/entity/Q16730623,,Anthony Katagas
86th Academy Awards,2014,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q3520498,Dallas Buyers Club,http://www.wikidata.org/entity/Q500611,Jean-Marc Vallée,2014-03-02T00:00:00Z,tt0790636,152532,3,http://www.wikidata.org/entity/Q484523,male,Jared Leto
86th Academy Awards,2014,Academy Award for Best Actor,http://www.wikidata.org/entity/Q3520498,Dallas Buyers Club,http://www.wikidata.org/entity/Q500611,Jean-Marc Vallée,2014-03-02T00:00:00Z,tt0790636,152532,3,http://www.wikidata.org/entity/Q188955,male,Matthew McConaughey
85th Academy Awards,2013,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q571032,Django Unchained,http://www.wikidata.org/entity/Q3772,Quentin Tarantino,2013-02-24T00:00:00Z,tt1853728,68718,1,http://www.wikidata.org/entity/Q76819,male,Christoph Waltz
85th Academy Awards,2013,Academy Award for Best Director,http://www.wikidata.org/entity/Q152780,Life of Pi,http://www.wikidata.org/entity/Q160726,Ang Lee,2013-02-24T00:00:00Z,tt0454876,87827,1,http://www.wikidata.org/entity/Q160726,male,Ang Lee
85th Academy Awards,2013,Academy Award for Best Actress,http://www.wikidata.org/entity/Q116845,Silver Linings Playbook,http://www.wikidata.org/entity/Q314342,David O. Russell,2013-02-24T00:00:00Z,tt1045658,82693,3,http://www.wikidata.org/entity/Q189490,female,Jennifer Lawrence
