awardEditionLabel,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,bechdeltest_rating,human,humanLabel
66th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q483941,Schindler's List,http://www.wikidata.org/entity/Q8877,Steven Spielberg,1994-03-21T00:00:00Z,tt0108052,3,http://www.wikidata.org/entity/Q1385337,Gerald R. Molen
65th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q104137,Unforgiven,http://www.wikidata.org/entity/Q43203,Clint Eastwood,1993-03-29T00:00:00Z,tt0105695,3,http://www.wikidata.org/entity/Q43203,Clint Eastwood
64th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q133654,The Silence of the Lambs,http://www.wikidata.org/entity/Q48987,Jonathan Demme,1992-03-30T00:00:00Z,tt0102926,3,http://www.wikidata.org/entity/Q7363558,Ron Bozman
63rd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q20456,Dances with Wolves,http://www.wikidata.org/entity/Q11930,Kevin Costner,1991-03-25T00:00:00Z,tt0099348,1,http://www.wikidata.org/entity/Q3808389,Jim Wilson
62nd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q211373,Driving Miss Daisy,http://www.wikidata.org/entity/Q449220,Bruce Beresford,1990-03-26T00:00:00Z,tt0097239,3,http://www.wikidata.org/entity/Q1824940,Lili Fini Zanuck
61st Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q188845,Rain Man,http://www.wikidata.org/entity/Q269692,Barry Levinson,1989-03-29T00:00:00Z,tt0095953,1,http://www.wikidata.org/entity/Q1279758,Mark Johnson
60th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q212775,The Last Emperor,http://www.wikidata.org/entity/Q53009,Bernardo Bertolucci,1988-04-11T00:00:00Z,tt0093389,3,http://www.wikidata.org/entity/Q1365966,Jeremy Thomas
59th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q190643,Platoon,http://www.wikidata.org/entity/Q179497,Oliver Stone,1987-03-30T00:00:00Z,tt0091763,0,http://www.wikidata.org/entity/Q695608,Arnold Kopelson
58th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q208266,Out of Africa,http://www.wikidata.org/entity/Q51522,Sydney Pollack,1986-03-24T00:00:00Z,tt0089755,3,http://www.wikidata.org/entity/Q51522,Sydney Pollack
57th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q190956,Amadeus,http://www.wikidata.org/entity/Q51525,Miloš Forman,1985-03-25T00:00:00Z,tt0086879,3,http://www.wikidata.org/entity/Q736466,Saul Zaentz
56th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q185071,Terms of Endearment,http://www.wikidata.org/entity/Q95125,James L. Brooks,1984-04-09T00:00:00Z,tt0086425,1,http://www.wikidata.org/entity/Q95125,James L. Brooks
55th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q202211,Gandhi,http://www.wikidata.org/entity/Q51506,Richard Attenborough,1983-04-11T00:00:00Z,tt0083987,2,http://www.wikidata.org/entity/Q51506,Richard Attenborough
54th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q207921,Chariots of Fire,http://www.wikidata.org/entity/Q538578,Hugh Hudson,1982-03-29T00:00:00Z,tt0082158,1,http://www.wikidata.org/entity/Q335507,David Puttnam
53rd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q503313,Ordinary People,http://www.wikidata.org/entity/Q59215,Robert Redford,1981-03-31T00:00:00Z,tt0081283,2,http://www.wikidata.org/entity/Q15453518,Ronald L. Schwary
52nd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q193577,Kramer vs. Kramer,http://www.wikidata.org/entity/Q59085,Robert Benton,1980-04-14T00:00:00Z,tt0079417,1,http://www.wikidata.org/entity/Q3496862,Stanley R. Jaffe
51st Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q201674,The Deer Hunter,http://www.wikidata.org/entity/Q59129,Michael Cimino,1979-04-09T00:00:00Z,tt0077416,1,http://www.wikidata.org/entity/Q59129,Michael Cimino
50th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q233464,Annie Hall,http://www.wikidata.org/entity/Q25089,Woody Allen,1978-04-03T00:00:00Z,tt0075686,3,http://www.wikidata.org/entity/Q376138,Charles H. Joffe
49th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q188652,Rocky,http://www.wikidata.org/entity/Q260125,John G. Avildsen,1977-03-28T00:00:00Z,tt0075148,1,http://www.wikidata.org/entity/Q721027,Robert Chartoff
48th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q171669,One Flew Over the Cuckoo's Nest,http://www.wikidata.org/entity/Q51525,Miloš Forman,1976-03-29T00:00:00Z,tt0073486,2,http://www.wikidata.org/entity/Q736466,Saul Zaentz
47th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q184768,The Godfather Part II,http://www.wikidata.org/entity/Q56094,Francis Ford Coppola,1975-04-08T00:00:00Z,tt0071562,2,http://www.wikidata.org/entity/Q2675693,Fred Roos
46th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q62665,The Sting,http://www.wikidata.org/entity/Q51570,George Roy Hill,1974-04-02T00:00:00Z,tt0070735,1,http://www.wikidata.org/entity/Q4354599,Michael Phillips
45th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q47703,The Godfather,http://www.wikidata.org/entity/Q56094,Francis Ford Coppola,1973-03-27T00:00:00Z,tt0068646,2,http://www.wikidata.org/entity/Q280490,Albert S. Ruddy
44th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q220735,The French Connection,http://www.wikidata.org/entity/Q51582,William Friedkin,1972-04-10T00:00:00Z,tt0067116,1,http://www.wikidata.org/entity/Q7183409,Philip D'Antoni
43rd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q217220,Patton,http://www.wikidata.org/entity/Q51503,Franklin J. Schaffner,1971-04-15T00:00:00Z,tt0066206,1,http://www.wikidata.org/entity/Q1313523,Frank McCarthy
42nd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q61696,Midnight Cowboy,http://www.wikidata.org/entity/Q55303,John Schlesinger,1970-04-07T00:00:00Z,tt0064665,1,http://www.wikidata.org/entity/Q6182734,Jerome Hellman
41st Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q141359,Oliver!,http://www.wikidata.org/entity/Q95143,Carol Reed,1969-04-14T00:00:00Z,tt0063385,2,http://www.wikidata.org/entity/Q17143133,John Woolf
40th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q622240,In the Heat of the Night,http://www.wikidata.org/entity/Q309214,Norman Jewison,1968-04-10T00:00:00Z,tt0061811,1,http://www.wikidata.org/entity/Q707064,Walter Mirisch
39th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q218999,A Man for All Seasons,http://www.wikidata.org/entity/Q55420,Fred Zinnemann,1967-04-10T00:00:00Z,tt0060665,1,,
38th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q60072,The Sound of Music,http://www.wikidata.org/entity/Q59821,Robert Wise,1966-04-18T00:00:00Z,tt0059742,3,http://www.wikidata.org/entity/Q59821,Robert Wise
