awardEditionLabel,year,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,bechdeltest_rating,human,humanLabel
90th Academy Awards,2018,Academy Award for Best Picture,http://www.wikidata.org/entity/Q27480769,Lady Bird,http://www.wikidata.org/entity/Q271967,Greta Gerwig,2018-03-04T00:00:00Z,tt4925292,3,http://www.wikidata.org/entity/Q461529,Scott Rudin
90th Academy Awards,2018,Academy Award for Best Picture,http://www.wikidata.org/entity/Q27958298,Darkest Hour,http://www.wikidata.org/entity/Q118817,Joe Wright,2018-03-04T00:00:00Z,tt4555426,2,http://www.wikidata.org/entity/Q1473065,Tim Bevan
90th Academy Awards,2018,Academy Award for Best Picture,http://www.wikidata.org/entity/Q28840386,Phantom Thread,http://www.wikidata.org/entity/Q25132,Paul Thomas Anderson,2018-03-04T00:00:00Z,tt5776858,3,http://www.wikidata.org/entity/Q25132,Paul Thomas Anderson
90th Academy Awards,2018,Academy Award for Best Picture,http://www.wikidata.org/entity/Q30203425,The Post,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2018-03-04T00:00:00Z,tt6294822,3,http://www.wikidata.org/entity/Q481925,Amy Pascal
89th Academy Awards,2017,Academy Award for Best Picture,http://www.wikidata.org/entity/Q19864603,Manchester by the Sea,http://www.wikidata.org/entity/Q968840,Kenneth Lonergan,2017-02-26T00:00:00Z,tt4034228,3,http://www.wikidata.org/entity/Q175535,Matt Damon
89th Academy Awards,2017,Academy Award for Best Picture,http://www.wikidata.org/entity/Q20026847,Hell or High Water,http://www.wikidata.org/entity/Q960885,David Mackenzie,2017-02-26T00:00:00Z,tt2582782,1,,
89th Academy Awards,2017,Academy Award for Best Picture,http://www.wikidata.org/entity/Q20382729,Arrival,http://www.wikidata.org/entity/Q548823,Denis Villeneuve,2017-02-26T00:00:00Z,tt2543164,3,http://www.wikidata.org/entity/Q24809064,Dan Levine
89th Academy Awards,2017,Academy Award for Best Picture,http://www.wikidata.org/entity/Q20856802,La La Land,http://www.wikidata.org/entity/Q18350026,Damien Chazelle,2017-02-26T00:00:00Z,tt3783958,3,http://www.wikidata.org/entity/Q28542755,Jordan Horowitz
89th Academy Awards,2017,Academy Award for Best Picture,http://www.wikidata.org/entity/Q21010856,Hacksaw Ridge,http://www.wikidata.org/entity/Q42229,Mel Gibson,2017-02-26T00:00:00Z,tt2119532,1,http://www.wikidata.org/entity/Q1517561,Bill Mechanic
89th Academy Awards,2017,Academy Award for Best Picture,http://www.wikidata.org/entity/Q21527875,Moonlight,http://www.wikidata.org/entity/Q26821227,Barry Jenkins,2017-02-26T00:00:00Z,tt4975722,1,http://www.wikidata.org/entity/Q28534248,Adele Romanski
89th Academy Awards,2017,Academy Award for Best Picture,http://www.wikidata.org/entity/Q23013699,Lion,http://www.wikidata.org/entity/Q23651358,Garth Davis,2017-02-26T00:00:00Z,tt3741834,2,http://www.wikidata.org/entity/Q15808023,Emile Sherman
89th Academy Awards,2017,Academy Award for Best Picture,http://www.wikidata.org/entity/Q23755544,Hidden Figures,http://www.wikidata.org/entity/Q19517847,Theodore Melfi,2017-02-26T00:00:00Z,tt4846340,3,http://www.wikidata.org/entity/Q439364,Donna Gigliotti
89th Academy Awards,2017,Academy Award for Best Picture,http://www.wikidata.org/entity/Q25136220,Fences,http://www.wikidata.org/entity/Q42101,Denzel Washington,2017-02-26T00:00:00Z,tt2671706,3,http://www.wikidata.org/entity/Q461529,Scott Rudin
88th Academy Awards,2016,Academy Award for Best Picture,http://www.wikidata.org/entity/Q19850715,The Big Short,http://www.wikidata.org/entity/Q350405,Adam McKay,2016-02-28T00:00:00Z,tt1596363,1,http://www.wikidata.org/entity/Q5249738,Dede Gardner
88th Academy Awards,2016,Academy Award for Best Picture,http://www.wikidata.org/entity/Q18547944,The Martian,http://www.wikidata.org/entity/Q56005,Ridley Scott,2016-02-28T00:00:00Z,tt3659388,3,http://www.wikidata.org/entity/Q22076491,Michael Schaefer
88th Academy Awards,2016,Academy Award for Best Picture,http://www.wikidata.org/entity/Q18703032,Room,http://www.wikidata.org/entity/Q6522913,Lenny Abrahamson,2016-02-28T00:00:00Z,tt3170832,3,http://www.wikidata.org/entity/Q22075469,Ed Guiney
88th Academy Awards,2016,Academy Award for Best Picture,http://www.wikidata.org/entity/Q16954098,Brooklyn,http://www.wikidata.org/entity/Q6227781,John Crowley,2016-02-28T00:00:00Z,tt2381111,3,http://www.wikidata.org/entity/Q22075531,Amanda Posey
88th Academy Awards,2016,Academy Award for Best Picture,http://www.wikidata.org/entity/Q18002795,The Revenant,http://www.wikidata.org/entity/Q55215,Alejandro González Iñárritu,2016-02-28T00:00:00Z,tt1663202,0,http://www.wikidata.org/entity/Q22074632,Keith Redmon
88th Academy Awards,2016,Academy Award for Best Picture,http://www.wikidata.org/entity/Q18067135,Bridge of Spies,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2016-02-28T00:00:00Z,tt3682448,1,http://www.wikidata.org/entity/Q6755521,Marc E. Platt
88th Academy Awards,2016,Academy Award for Best Picture,http://www.wikidata.org/entity/Q18154496,Spotlight,http://www.wikidata.org/entity/Q514527,Tom McCarthy,2016-02-28T00:00:00Z,tt1895587,1,http://www.wikidata.org/entity/Q22075550,Nicole Rocklin
88th Academy Awards,2016,Academy Award for Best Picture,http://www.wikidata.org/entity/Q1757288,Mad Max: Fury Road,http://www.wikidata.org/entity/Q446960,George Miller,2016-02-28T00:00:00Z,tt1392190,3,http://www.wikidata.org/entity/Q446960,George Miller
87th Academy Awards,2015,Academy Award for Best Picture,http://www.wikidata.org/entity/Q3521099,The Grand Budapest Hotel,http://www.wikidata.org/entity/Q223687,Wes Anderson,2015-02-22T00:00:00Z,tt2278388,1,http://www.wikidata.org/entity/Q19560324,Jeremy Dawson
87th Academy Awards,2015,Academy Award for Best Picture,http://www.wikidata.org/entity/Q4103201,Boyhood,http://www.wikidata.org/entity/Q40035,Richard Linklater,2015-02-22T00:00:00Z,tt1065073,3,http://www.wikidata.org/entity/Q40035,Richard Linklater
87th Academy Awards,2015,Academy Award for Best Picture,http://www.wikidata.org/entity/Q13255497,Birdman,http://www.wikidata.org/entity/Q55215,Alejandro González Iñárritu,2015-02-22T00:00:00Z,tt2562232,3,http://www.wikidata.org/entity/Q19359565,James W. Skotchdopole
87th Academy Awards,2015,Academy Award for Best Picture,http://www.wikidata.org/entity/Q14918344,The Imitation Game,http://www.wikidata.org/entity/Q3425142,Morten Tyldum,2015-02-22T00:00:00Z,tt2084970,2,http://www.wikidata.org/entity/Q19573510,Ido Ostrowsky
87th Academy Awards,2015,Academy Award for Best Picture,http://www.wikidata.org/entity/Q15079318,The Theory of Everything,http://www.wikidata.org/entity/Q2720543,James Marsh,2015-02-22T00:00:00Z,tt2980516,3,http://www.wikidata.org/entity/Q1473065,Tim Bevan
87th Academy Awards,2015,Academy Award for Best Picture,http://www.wikidata.org/entity/Q15648198,Whiplash,http://www.wikidata.org/entity/Q18350026,Damien Chazelle,2015-02-22T00:00:00Z,tt2582802,1,http://www.wikidata.org/entity/Q19955710,Helen Estabrook
